@RELATION Restaurant

@ATTRIBUTE name_mongeelkan NUMERIC 
@ATTRIBUTE name_jaro_winkler NUMERIC 
@ATTRIBUTE name_smith_waterman NUMERIC 
@ATTRIBUTE addr_smith_waterman NUMERIC 
@ATTRIBUTE addr_mongeelkan NUMERIC 
@ATTRIBUTE addr_jaro_winkler NUMERIC 
@ATTRIBUTE type_jaro NUMERIC 
@ATTRIBUTE type_jaro_winkler NUMERIC 
@ATTRIBUTE type_smith_waterman NUMERIC 
@ATTRIBUTE city_jaro NUMERIC 
@ATTRIBUTE city_jaro_winkler NUMERIC 
@ATTRIBUTE city_smith_waterman NUMERIC 
@ATTRIBUTE class { match, mismatch }

@DATA
1,0.861,0.514,1,0.875,0.981,0.537,0.537,0.185,1,1,1,match
0.667,0.952,0.785,1,1,1,0.537,0.537,0.185,1,1,1,match
1,1,1,0.905,0.875,0.912,1,1,1,1,1,1,match
1,1,1,0.882,0.778,0.977,0.857,0.943,1,1,1,1,match
1,1,1,1,1,0.909,0.821,0.928,1,1,1,1,match
1,1,1,1,1,0.93,0.833,0.933,1,1,1,1,match
1,1,1,1,1,0.913,0.472,0.472,0.25,1,1,1,match
1,1,1,1,1,0.928,0.614,0.614,0.364,1,1,1,match
1,0.1,0.67,1,1,1,0.456,0.456,0.182,1,1,1,match
1,1,1,1,1,1,0,0,0.375,1,1,1,match
0.66,0.93,1,1,1,1,0.833,0.933,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,0.458,0.458,0.15,1,1,1,match
1,1,1,1,1,1,0.872,0.949,1,1,1,1,match
1,1,1,1,1,0.93,0.7,0.7,0.6,1,1,1,match
0.867,0.916,0.518,1,1,1,0.444,0.444,0.2,1,1,1,match
1,1,1,1,1,1,0.833,0.933,1,1,1,1,match
1,1,1,0.867,0.822,0.978,0.821,0.928,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,match
0.775,0.833,1,1,1,1,1,1,1,1,1,1,match
1,1,1,0.727,0.889,0.925,0.821,0.928,1,1,1,1,match
1,1,1,1,1,1,0.857,0.943,1,1,1,1,match
1,1,1,0.765,0.75,0.946,0.646,0.646,0.246,1,1,1,match
1,1,1,1,1,1,0.633,0.633,0.3,1,1,1,match
1,1,1,1,1,1,0.833,0.933,1,1,1,1,match
1,1,1,0.929,0.833,0.965,0,0,0.267,1,1,1,match
1,1,1,1,1,1,0.833,0.933,1,1,1,1,match
1,1,1,1,1,1,0,0,0.325,1,1,1,match
1,1,1,1,1,1,0,0,0.325,1,1,1,match
1,0.888,1,1,1,1,0.658,0.658,0.44,1,1,1,match
1,1,1,1,1,1,0.857,0.943,1,1,1,1,match
1,1,1,1,1,1,0.31,0.31,0.143,1,1,1,match
1,1,1,1,1,1,0.833,0.933,1,1,1,1,match
0.667,0.952,1,1,1,1,0.645,0.681,0.286,1,1,1,match
1,1,1,1,1,0.994,0.562,0.562,0.44,1,1,1,match
0.844,0.958,1,1,1,0.994,0.972,0.986,0.909,1,1,1,match
0.625,0.93,1,1,1,0.994,1,1,1,1,1,1,match
1,1,1,1,1,0.917,0.857,0.943,1,1,1,1,match
1,0.911,1,1,1,1,0.562,0.562,0.44,0.455,0.455,0.2,match
1,0.937,1,1,1,1,0.55,0.55,0.52,1,1,1,match
1,1,1,1,1,1,0.821,0.928,1,1,1,1,match
1,1,1,1,1,1,0.821,0.928,1,0.404,0.404,0.091,match
1,1,1,0.657,0.911,0.812,0.518,0.518,0.32,0.872,0.949,1,match
1,0.993,1,1,1,1,0.489,0.489,0.314,1,1,1,match
1,1,1,1,1,0.994,0.482,0.482,0.182,1,1,1,match
0.867,0.953,1,0.918,1,0.936,0.546,0.546,0.182,1,1,1,match
0.422,0.508,0.125,0.123,0.389,0,0.562,0.606,0.429,1,1,1,mismatch
0.294,0.446,0.154,0.071,0.333,0,0,0,0.4,1,1,1,mismatch
0.272,0.402,0.229,0.429,0.511,0.637,0.503,0.503,0.371,1,1,1,mismatch
0.339,0,0.286,0.4,0.667,0.59,0.442,0.442,0.229,0.872,0.949,1,mismatch
0.267,0,0.4,0.143,0.444,0,0.442,0.442,0.371,0.872,0.949,1,mismatch
0.4,0.4,0.4,0.114,0.256,0,0.424,0.424,0.2,1,1,1,mismatch
0.4,0.4,0.4,0.271,0.4,0,0.361,0.361,0.267,0.872,0.949,1,mismatch
0.3,0,0.12,0.514,0.708,0.66,0.519,0.519,0.123,1,1,1,mismatch
0.3,0,0.12,0.514,0.708,0.66,0.857,0.943,1,0.872,0.949,1,mismatch
0.36,0.448,0.36,0.457,0.625,0.614,0,0.1,0.4,0.872,0.949,1,mismatch
0.32,0.56,0.229,0.286,0.708,0.502,0,0,0.267,0.872,0.949,1,mismatch
0.5,0.467,0.2,0.671,0.75,0.886,0.426,0.426,0.32,0.872,0.949,1,mismatch
0.5,0,0.28,0.453,0.75,0,0.821,0.928,1,0.872,0.949,1,mismatch
0.437,0,0.154,0.308,0.589,0.756,0.519,0.519,0.222,1,1,1,mismatch
0.287,0.398,0.143,0.154,0.378,0.1,0.436,0.436,0.289,1,1,1,mismatch
0.267,0.398,0.229,0.231,0.5,0.531,0.474,0.474,0.145,0.872,0.949,1,mismatch
0.357,0.433,0.4,0.308,0.433,0.581,0.558,0.558,0.236,0.872,0.949,1,mismatch
0.211,0.442,0.286,0.143,0.311,0.694,0.637,0.637,0.356,1,1,1,mismatch
0.139,0.48,0.229,0.243,0.511,0.56,0.584,0.584,0.289,0.872,0.949,1,mismatch
0.233,0.442,0.4,0.314,0.667,0.673,0.417,0.417,0.356,0.872,0.949,1,mismatch
0.2,0,0.2,0.514,0.656,0.585,0.589,0.589,0.486,0.872,0.949,1,mismatch
0.189,0.577,0.267,0.286,0.544,0.588,0.565,0.565,0.325,0.872,0.949,1,mismatch
0.371,0.631,0.371,0.373,0.733,0.551,0,0,0.289,0.872,0.949,1,mismatch
0.4,0.464,0.4,0.214,0.5,0.608,0,0,0.511,0.872,0.949,1,mismatch
0.318,0.581,0.169,0.275,0.533,0.569,0.414,0.414,0.229,1,1,1,mismatch
0.633,0,0.2,0.25,0.54,0.492,0.437,0.437,0.267,0.872,0.949,1,mismatch
0.317,0.499,0.154,0.529,0.833,0.692,0,0,0.2,0.872,0.949,1,mismatch
0.413,0.451,0.141,0.743,0.775,0.927,1,1,1,1,1,1,mismatch
0.317,0.436,0.45,0.486,0.667,0.582,0.857,0.943,1,0.872,0.949,1,mismatch
0.413,0.451,0.141,0.743,0.775,0.927,0.857,0.943,1,0.872,0.949,1,mismatch
0.277,0,0.26,0.214,0.444,0.554,0.508,0.508,0.229,1,1,1,mismatch
0.2,0,0.182,0.786,0.667,0.857,0,0,0.2,1,1,1,mismatch
0.277,0,0.26,0.214,0.444,0.554,0,0,0.333,0.872,0.949,1,mismatch
0.2,0.421,0.2,0.1,0.278,0.429,0.524,0.524,0.229,0.872,0.949,1,mismatch
0.205,0.275,0.2,0.114,0.411,0.554,0,0,0.314,0.872,0.949,1,mismatch
0.65,0.617,0.4,0.5,0.689,0.623,0,0,0.286,0.872,0.949,1,mismatch
0.32,0,0.182,0.071,0.389,0.497,0,0,0.314,0.872,0.949,1,mismatch
0.354,0.594,0.2,0.5,0.689,0.623,0.524,0.524,0.229,0.872,0.949,1,mismatch
0.32,0.505,0.16,0.214,0.333,0.497,0.448,0.448,0.32,1,1,1,mismatch
0.36,0.58,0.36,0.52,0.667,0.69,0.508,0.508,0.429,0.872,0.949,1,mismatch
0.12,0,0.12,0.48,0.667,0.762,0.69,0.69,0.286,0.872,0.949,1,mismatch
0.3,0,0.14,0.427,0.542,0.494,0.484,0.484,0.457,0.872,0.949,1,mismatch
0.52,0.518,0.26,0.493,0.667,0.855,0.69,0.69,0.286,0.872,0.949,1,mismatch
0.289,0.593,0.26,0.427,0.458,0.452,0.508,0.508,0.429,0.872,0.949,1,mismatch
0.22,0,0.109,0.077,0.123,0.432,0,0,0.2,1,1,1,mismatch
0.26,0.505,0.16,0.214,0.333,0.497,0.578,0.578,0.4,0.872,0.949,1,mismatch
0.26,0.43,0.32,0.1,0.278,0.429,0,0,0.36,0.872,0.949,1,mismatch
0.26,0.524,0.16,0.114,0.3,0.497,0.383,0.383,0.32,0.872,0.949,1,mismatch
0.325,0.505,0.2,0.5,0.689,0.621,0.428,0.428,0.24,0.872,0.949,1,mismatch
0.22,0.57,0.109,0.1,0.389,0.497,0.383,0.383,0.32,0.872,0.949,1,mismatch
0.26,0.264,0.145,0.5,0.689,0.586,0,0,0.36,0.872,0.949,1,mismatch
0.2,0.394,0.145,0.214,0.444,0.498,0.383,0.383,0.32,0.872,0.949,1,mismatch
0.385,0.522,0.236,0.214,0.444,0,0.533,0.533,0.4,0.872,0.949,1,mismatch
0.5,0.399,0.1,0.677,0.75,0.817,0.361,0.361,0.267,0.872,0.949,1,mismatch
0.6,0,0.138,0.48,0.667,0.752,0,0,0.314,0.872,0.949,1,mismatch
0.252,0.5,0.3,0.373,0.583,0.547,0.562,0.562,0.44,0.872,0.949,1,mismatch
0,0,0,0.444,0.75,0.611,0.869,0.869,0.771,0.872,0.949,1,mismatch
0.55,0,0.2,0.222,0.467,0,0,0,0.229,0.872,0.949,1,mismatch
0.35,0.525,0.138,0.111,0.311,0.516,0,0,0.229,0.872,0.949,1,mismatch
0.92,0.322,0.767,0.333,0.533,0.565,1,1,1,1,1,1,mismatch
0.2,0.437,0.2,0.378,0.667,0.535,0.345,0.345,0.143,0.872,0.949,1,mismatch
0.167,0,0.167,0.444,0.667,0.515,0,0,0.286,0.872,0.949,1,mismatch
0.333,0.373,0.333,0.444,0.75,0.462,0.411,0.411,0.143,0.872,0.949,1,mismatch
0.4,0.422,0.2,0.333,0.7,0,0.345,0.345,0.143,0.872,0.949,1,mismatch
0.351,0.473,0.371,0.375,0.625,0,0.345,0.345,0.143,0.872,0.949,1,mismatch
0.562,0.322,0.767,0.412,0.667,0.642,1,1,1,0.872,0.949,1,mismatch
0.396,0,0.178,0.325,0.583,0.522,0,0,0.286,0.872,0.949,1,mismatch
0.344,0.389,0.22,0.543,0.625,0.78,0.345,0.345,0.143,0.872,0.949,1,mismatch
0.6,0.532,0.217,0.156,0.454,0.594,0.562,0.562,0.4,1,1,1,mismatch
0.267,0.458,0.167,0.105,0.458,0.548,0.414,0.414,0.229,0.872,0.949,1,mismatch
0.329,0.296,0.178,0.137,0.6,0,0.69,0.69,0.457,0.872,0.949,1,mismatch
0.693,0.502,0.417,0.116,0.6,0,1,1,1,0.872,0.949,1,mismatch
0.367,0.472,0.15,0.116,0.533,0.445,0.69,0.69,0.457,0.872,0.949,1,mismatch
0.55,0.645,0.236,0.116,0.6,0,0.414,0.414,0.229,0.872,0.949,1,mismatch
0.5,0.553,0.5,0.443,0.708,0.799,0.409,0.409,0.229,0.872,0.949,1,mismatch
0.267,0.528,0.267,0.357,0.542,0,0.456,0.456,0.133,0.872,0.949,1,mismatch
0.24,0,0.2,0.486,0.708,0.799,0.444,0.444,0.2,0.872,0.949,1,mismatch
0.256,0.519,0.257,0.214,0.444,0.508,0.472,0.472,0.333,1,1,1,mismatch
0.256,0.519,0.257,0.214,0.444,0.508,0.419,0.419,0.267,0.872,0.949,1,mismatch
0.517,0,0.333,0.314,0.533,0,0.633,0.633,0.3,0.872,0.949,1,mismatch
0.367,0.447,0.116,0.786,0.778,0.498,0.633,0.633,0.3,0.872,0.949,1,mismatch
0.2,0,0.2,0.529,0.708,0.83,0.361,0.361,0.333,1,1,1,mismatch
0.333,0.541,0.2,0.213,0.708,0.495,0,0,0.533,0.872,0.949,1,mismatch
0.8,0,0.32,0.373,0.667,0,0,0,0.2,0.872,0.949,1,mismatch
0.3,0,0.2,0.48,0.667,0,0.444,0.444,0.267,0.872,0.949,1,mismatch
0.3,0,0.3,0.077,0.4,0.534,0.626,0.626,0.657,0.872,0.949,1,mismatch
0.489,0.535,0.213,0.657,0.65,0.779,0.429,0.429,0.286,1,1,1,mismatch
0.363,0.333,0.44,0.629,0.562,0.794,0.395,0.395,0.52,0.872,0.949,1,mismatch
0.489,0,0.246,0.643,0.75,0.797,0.395,0.395,0.52,0.872,0.949,1,mismatch
0.38,0.549,0.267,0.286,0.625,0.497,0.429,0.429,0.229,0.872,0.949,1,mismatch
0.318,0.439,0.333,0.429,0.625,0.491,0.405,0.405,0.171,0.872,0.949,1,mismatch
0.433,0.712,0.262,0.514,0.625,0.651,0.395,0.395,0.52,0.872,0.949,1,mismatch
0.484,0.535,0.213,0.657,0.65,0.779,0.429,0.429,0.286,0.872,0.949,1,mismatch
0.333,0.422,0.32,0.587,0.708,0.84,0.562,0.562,0.44,0.872,0.949,1,mismatch
0.667,0.575,0.356,0.294,0.6,0.564,1,1,1,0.872,0.949,1,mismatch
0.36,0.385,0.26,0.357,0.611,0.668,0.492,0.492,0.533,0.872,0.949,1,mismatch
0.311,0.282,0.222,0.286,0.667,0,0.575,0.575,0.567,0.872,0.949,1,mismatch
0.417,0.604,0.3,0.229,0.294,0.495,0.556,0.556,0.267,0.872,0.949,1,mismatch
0.367,0.465,0.533,0.143,0.444,0.455,0.514,0.514,0.533,0.872,0.949,1,mismatch
0.487,0.481,0.213,0.229,0.278,0.452,0.514,0.514,0.533,0.872,0.949,1,mismatch
0.25,0.444,0.25,0.267,0.542,0.1,0,0,0.2,0.872,0.949,1,mismatch
0.433,0.54,0.467,0.357,0.708,0.415,0.857,0.943,1,0.872,0.949,1,mismatch
0.417,0.519,0.246,0.133,0.396,0.57,0.792,0.917,1,0.872,0.949,1,mismatch
0.675,0.458,0.25,0.493,0.75,0.701,0.345,0.345,0.143,0.872,0.949,1,mismatch
0.35,0,0.4,0.387,0.667,0.696,0.429,0.429,0.229,0.872,0.949,1,mismatch
0.567,0,0.244,0.347,0.625,0.622,0.428,0.428,0.286,0.872,0.949,1,mismatch
0.66,0,0.167,0.227,0.5,0.404,0.373,0.373,0.167,0.872,0.949,1,mismatch
0.433,0.556,0.2,0.236,0.35,0.247,0.373,0.373,0.167,0.872,0.949,1,mismatch
0.333,0.389,0.222,0.173,0.611,0.552,0,0,0.2,1,1,1,mismatch
0.342,0.505,0.153,0.133,0.5,0.552,1,1,1,0.872,0.949,1,mismatch
0.342,0,0.367,0.144,0.311,0,1,1,1,0.872,0.949,1,mismatch
0.333,0.389,0.222,0.173,0.611,0.552,0,0,0.2,0.872,0.949,1,mismatch
0.417,0.451,0.118,0.911,0.822,0.794,1,1,1,0.872,0.949,1,mismatch
0.367,0.477,0.267,0.28,0.617,0.588,0,0,0.2,0.872,0.949,1,mismatch
0.275,0.426,0.2,0.2,0.458,0.583,0,0,0.2,0.872,0.949,1,mismatch
0.45,0,0.244,0.293,0.5,0.495,0,0,0.2,0.872,0.949,1,mismatch
0.633,0.465,0.229,0.111,0.267,0.278,0.442,0.442,0.2,1,1,1,mismatch
0.267,0.392,0.12,0.347,0.542,0.636,0.625,0.625,0.333,0.872,0.949,1,mismatch
0.4,0.498,0.5,0.307,0.542,0.61,0.7,0.7,0.6,0.872,0.949,1,mismatch
0.367,0,0.25,0.188,0.625,0.475,0,0,0.267,0.872,0.949,1,mismatch
0.44,0.564,0.167,0.412,0.75,0.624,0.444,0.444,0.267,0.872,0.949,1,mismatch
0.59,0,0.2,0.312,0.5,0.411,0.663,0.696,0.5,0.872,0.949,1,mismatch
0.129,0.264,0.1,0.357,0.483,0.601,0,0,0.229,0.872,0.949,1,mismatch
0.15,0.409,0.229,0.857,0.875,0.906,0.857,0.943,1,0.872,0.949,1,mismatch
0.5,0,0.25,0.543,0.75,0.708,0,0,0.143,0.872,0.949,1,mismatch
0.462,0.532,0.217,0.156,0.656,0.556,0.562,0.562,0.4,0.872,0.949,1,mismatch
0.391,0.577,0.244,0.3,0.622,0.459,0,0,0.4,0.872,0.949,1,mismatch
0.618,0.587,0.286,0.156,0.422,0,0.562,0.562,0.4,0.872,0.949,1,mismatch
0.594,0.458,0.333,0.833,0.667,0.72,0,0,0.4,0.872,0.949,1,mismatch
0.309,0.451,0.141,0.743,0.775,0.927,0.857,0.943,1,0.872,0.949,1,mismatch
0.56,0.587,0.4,0.364,0.667,0.653,0.762,0.762,0.771,1,1,1,mismatch
0.383,0.324,0.2,0.309,0.611,0.552,0.676,0.676,0.4,0.872,0.949,1,mismatch
0.417,0.474,0.178,0.364,0.5,0.529,0.869,0.869,0.771,0.872,0.949,1,mismatch
0.56,0.587,0.4,0.364,0.667,0.653,0.869,0.869,0.771,0.872,0.949,1,mismatch
0.333,0.482,0.145,0.067,0,0.411,0.46,0.46,0.533,1,1,1,mismatch
0.309,0,0.333,0.133,0.417,0,0.762,0.762,0.771,1,1,1,mismatch
0.355,0.652,0.48,0.267,0.742,0.64,0.524,0.524,0.143,0.872,0.949,1,mismatch
0.25,0.472,0.25,0.8,0.667,0.867,0.476,0.476,0.286,1,1,1,mismatch
0.5,0,0.333,0.133,0.611,0,0.869,0.869,0.771,0.872,0.949,1,mismatch
0.32,0.578,0.32,0.373,0.556,0.53,0,0.1,0.229,0.872,0.949,1,mismatch
0.32,0.456,0.32,0.373,0.733,0.458,0.869,0.869,0.771,0.872,0.949,1,mismatch
0.5,0.571,0.333,0.507,0.622,0.402,0.456,0.456,0.371,0.872,0.949,1,mismatch
0.4,0,0.5,0.373,0.622,0.453,0.619,0.619,0.286,0.872,0.949,1,mismatch
0.367,0.311,0.367,0.373,0.611,0,0,0,0.229,0.872,0.949,1,mismatch
0.467,0,0.289,0.267,0.5,0.526,0.313,0.313,0.371,0.872,0.949,1,mismatch
0.25,0.483,0.25,0.4,0.789,0.512,0.594,0.594,0.3,0.872,0.949,1,mismatch
0.4,0.44,0.4,0.507,0.733,0.503,0.436,0.436,0.289,0.872,0.949,1,mismatch
0.3,0,0.3,0.373,0.844,0.555,0,0,0.429,0.872,0.949,1,mismatch
0.5,0,0.5,0.373,0.722,0,0.404,0.404,0.133,0.872,0.949,1,mismatch
0.311,0.399,0.343,0.16,0.433,0.589,0.562,0.562,0.64,0.872,0.949,1,mismatch
0.65,0.537,0.65,0.133,0.5,0,1,1,1,1,1,1,mismatch
0.35,0.424,0.24,0.7,0.65,0.84,0.402,0.402,0.229,0.872,0.949,1,mismatch
0.389,0,0.3,0.414,0.458,0.725,0.421,0.421,0.4,0.872,0.949,1,mismatch
0.489,0,0.214,0.886,0.875,0.911,0.421,0.421,0.4,0.872,0.949,1,mismatch
0.492,0.429,0.325,0.493,0.711,0.635,0.645,0.681,0.286,0.872,0.949,1,mismatch
0.325,0.548,0.4,0.643,0.75,0.83,0.562,0.562,0.2,0.872,0.949,1,mismatch
0.26,0.438,0.114,0.743,0.775,0.821,0,0,0.2,0.872,0.949,1,mismatch
0.307,0.524,0.143,0.743,0.775,0.927,0,0,0.2,0.872,0.949,1,mismatch
0.8,0.511,0.311,0.414,0.625,0.676,0.486,0.486,0.16,0.872,0.949,1,mismatch
0.256,0.516,0.133,0.286,0.444,0.498,0.456,0.456,0.32,0.872,0.949,1,mismatch
0.533,0.546,0.267,0.554,0.583,0.679,1,1,1,1,1,1,mismatch
0.9,0.69,0.4,0.554,0.562,0.727,0.421,0.421,0.4,0.872,0.949,1,mismatch
0.533,0.546,0.267,0.554,0.583,0.679,0.792,0.917,1,0.872,0.949,1,mismatch
0.533,0.575,0.267,0.554,1,0.536,0.402,0.402,0.229,0.872,0.949,1,mismatch
0.8,0.632,0.267,0.827,0.817,0.911,0.421,0.421,0.4,0.872,0.949,1,mismatch
0.267,0.444,0.267,0.693,0.733,0.684,0.402,0.402,0.229,0.872,0.949,1,mismatch
0.76,0.627,0.562,0.143,0.458,0,1,1,1,1,1,1,mismatch
0.274,0.519,0.123,0.267,0.625,0.603,0.421,0.421,0.16,0.872,0.949,1,mismatch
0.76,0.627,0.562,0.893,0.917,0.964,0.311,0.311,0.125,0.872,0.949,1,mismatch
0.55,0,0.5,0.2,0.583,0,0.311,0.311,0.125,0.872,0.949,1,mismatch
0.38,0,0.233,0.213,0.625,0.498,0.421,0.421,0.16,0.872,0.949,1,mismatch
0.35,0.501,0.123,0.453,0.708,0.579,0.489,0.489,0.143,0.872,0.949,1,mismatch
0.9,0.47,0.286,0.373,0.667,0.77,0.489,0.489,0.229,0.872,0.949,1,mismatch
0.427,0,0.16,0.643,0.708,0.83,0.489,0.489,0.229,0.872,0.949,1,mismatch
0.133,0.261,0.083,0.4,0.667,0.636,0.421,0.421,0.16,0.872,0.949,1,mismatch
0.143,0.358,0.123,0.143,0.333,0.437,0.421,0.421,0.16,0.872,0.949,1,mismatch
0.211,0.408,0.433,0.4,0.611,0.59,0.311,0.311,0.125,0.872,0.949,1,mismatch
0.213,0.364,0.233,0.5,0.556,0.589,0.421,0.421,0.16,0.872,0.949,1,mismatch
0.207,0.507,0.123,0.4,0.5,0.593,0.489,0.489,0.143,0.872,0.949,1,mismatch
0.45,0.535,0.314,0.214,0.5,0,0.489,0.489,0.229,0.872,0.949,1,mismatch
0.289,0.1,0.16,0.143,0.5,0.505,0.489,0.489,0.229,0.872,0.949,1,mismatch
0.4,0.428,0.32,0.514,0.667,0.599,1,1,1,1,1,1,mismatch
0.2,0.442,0.2,0.333,0.417,0.402,0,0.1,0.4,0.872,0.949,1,mismatch
0.8,0.587,0.4,0.267,0.625,0.57,0.762,0.762,0.771,0.872,0.949,1,mismatch
0.32,0.433,0.32,0.48,0.5,0.733,0.857,0.943,1,0.872,0.949,1,mismatch
0.4,0.414,0.32,0.514,0.667,0.599,0.857,0.943,1,0.872,0.949,1,mismatch
0.475,0.51,0.233,0.286,0.542,0.637,0,0,0,1,1,1,mismatch
0.271,0.484,0.229,0.286,0.542,0.637,0.857,0.943,1,0.872,0.949,1,mismatch
0.3,0.428,0.32,0.514,0.583,0.599,0.857,0.943,1,0.872,0.949,1,mismatch
0.2,0,0.2,0.529,0.792,0.83,0.658,0.658,0.44,0.872,0.949,1,mismatch
0.3,0.405,0.125,0.6,0.667,0.599,0.361,0.361,0.267,0.872,0.949,1,mismatch
0.25,0.518,0.24,0.214,0.667,0.661,0,0,0.32,0.872,0.949,1,mismatch
0.371,0.512,0.371,0.693,0.733,0.746,0.437,0.437,0.267,0.872,0.949,1,mismatch
0.32,0.512,0.229,0.743,0.65,0.779,0.69,0.69,0.457,0.872,0.949,1,mismatch
0.44,0,0.44,0.643,0.625,0.779,0.524,0.524,0.143,0.872,0.949,1,mismatch
