@RELATION Restaurant

@ATTRIBUTE name_cosine NUMERIC 
@ATTRIBUTE name_jaccard NUMERIC 
@ATTRIBUTE name_jaro NUMERIC 
@ATTRIBUTE name_jaro_winkler NUMERIC 
@ATTRIBUTE name_lev NUMERIC 
@ATTRIBUTE name_mongeelkan NUMERIC 
@ATTRIBUTE name_qg NUMERIC 
@ATTRIBUTE name_smith_waterman NUMERIC 
@ATTRIBUTE name_exact NUMERIC 
@ATTRIBUTE addr_cosine NUMERIC 
@ATTRIBUTE addr_jaccard NUMERIC 
@ATTRIBUTE addr_jaro NUMERIC 
@ATTRIBUTE addr_jaro_winkler NUMERIC 
@ATTRIBUTE addr_lev NUMERIC 
@ATTRIBUTE addr_mongeelkan NUMERIC 
@ATTRIBUTE addr_qg NUMERIC 
@ATTRIBUTE addr_smith_waterman NUMERIC 
@ATTRIBUTE addr_exact NUMERIC 
@ATTRIBUTE type_cosine NUMERIC 
@ATTRIBUTE type_jaccard NUMERIC 
@ATTRIBUTE type_jaro NUMERIC 
@ATTRIBUTE type_jaro_winkler NUMERIC 
@ATTRIBUTE type_lev NUMERIC 
@ATTRIBUTE type_mongeelkan NUMERIC 
@ATTRIBUTE type_qg NUMERIC 
@ATTRIBUTE type_smith_waterman NUMERIC 
@ATTRIBUTE type_exact NUMERIC 
@ATTRIBUTE city_cosine NUMERIC 
@ATTRIBUTE city_jaccard NUMERIC 
@ATTRIBUTE city_jaro NUMERIC 
@ATTRIBUTE city_jaro_winkler NUMERIC 
@ATTRIBUTE city_lev NUMERIC 
@ATTRIBUTE city_mongeelkan NUMERIC 
@ATTRIBUTE city_qg NUMERIC 
@ATTRIBUTE city_smith_waterman NUMERIC 
@ATTRIBUTE city_exact NUMERIC 
@ATTRIBUTE class { match, mismatch }

@DATA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.7,0.7,0.5,0.6,0.4,0.6,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.535,0.286,0.772,0.909,0.317,1,0.448,1,0,1,1,1,1,1,1,1,1,1,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
0.667,0.5,0.812,0.925,0.6,0.844,0.562,0.692,0,0.25,0.143,0.727,0.727,0.667,0.646,0.424,0.629,0,0,0,0.562,0.562,0.143,0.44,0,0.44,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.632,0.4,0.764,0.906,0.292,1,0.424,1,0,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0,0,0.522,0.57,0.167,0.396,0.054,0.133,0,0.707,0.5,0.792,0.917,0.375,0.6,0.462,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.373,0.373,0,0.167,0,0.167,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.7,0.88,0.5,1,0.462,0.6,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.792,0.917,0.375,0.6,0.462,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.775,0.6,0.802,0.921,0.407,1,0.619,1,0,1,1,1,1,1,1,1,1,1,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.408,0.25,0.446,0.446,0.083,0.66,0.286,0.571,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
0.707,0.5,0.833,0.933,0.5,0.742,0.615,1,0,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.471,0.286,0.64,0.784,0.333,0.889,0.465,0.6,0,0,0,0.711,0.827,0.417,0.8,0.381,0.8,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.667,0.444,0.783,0.913,0.35,1,0.517,1,0,0.707,0.5,0.792,0.917,0.375,0.6,0.462,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.792,0.917,0.375,0.6,0.462,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0,0,0,0,0.133,0.611,0.061,0.143,0,0,0,0.311,0.311,0.091,0.125,0,0.125,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
0.707,0.5,0.841,0.936,0.522,1,0.615,1,0,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.408,0.222,0.61,0.766,0.3,0.911,0.333,0.55,0,0,0,0.711,0.827,0.417,0.8,0.381,0.8,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.897,0.897,0.692,1,0.692,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.408,0.222,0.687,0.812,0.225,0.889,0.345,0.657,0,0,0,0.472,0.472,0.167,0.25,0.083,0.25,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.471,0.286,0.76,0.88,0.4,0.889,0.5,0.68,0,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.471,0.286,0,0,0.556,0.889,0.458,0.765,0,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.456,0.456,0.125,0.222,0,0.182,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
0.577,0.333,0.812,0.925,0.438,0.567,0.519,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.775,0.6,0.817,0.927,0.452,1,0.653,1,0,0,0,0.444,0.444,0.167,0.293,0,0.2,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.658,0.658,0.25,0.44,0,0.44,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.577,0.333,0,0,0.35,0.502,0.452,1,0,1,1,1,1,1,1,1,1,1,match
0.667,0.5,0.985,0.994,0.955,1,0.894,0.952,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.4,0.375,0.091,0.375,0,0,0,0,0,0.091,0.333,0,0.178,0,match
0.707,0.5,0.827,0.931,0.481,0.95,0.591,1,0,1,1,1,1,1,1,1,1,1,0.707,0.5,0.821,0.928,0.462,0.633,0.522,1,0,1,1,1,1,1,1,1,1,1,match
0.707,0.5,0,0,0.312,1,0.4,1,0,0.866,0.75,0.884,0.942,0.864,1,0.889,0.926,0,0,0,0.658,0.658,0.25,0.44,0,0.44,0,0.5,0.333,0.737,0.842,0.545,0.767,0.333,0.533,0,match
0.5,0.25,0.754,0.877,0.263,0.458,0.357,1,0,0.866,0.75,0.924,0.97,0.773,1,0.791,1,0,0,0,0.444,0.444,0.167,0.293,0,0.2,0,0.707,0.5,0.917,0.917,0.75,0.75,0.72,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.364,0.325,0.174,0.325,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.8,0.667,0.986,0.994,0.957,0.95,0.898,0.955,0,0,0,0.311,0.311,0.091,0.125,0,0.125,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.354,0.2,0.519,0.519,0.412,0.625,0.429,0.857,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
0.707,0.5,0.852,0.941,0.556,1,0.5,0.88,0,1,1,1,1,1,1,1,1,1,0.707,0.5,0.788,0.915,0.364,0.65,0.471,1,0,0,0,0,0,0.154,0.4,0.071,0.182,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.125,0.25,0,0.167,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,0.679,0.679,0.077,1,0.533,0.538,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
0.707,0.5,0.481,0.481,0.261,0.663,0.229,0.5,0,1,1,1,1,1,1,1,1,1,0,0,0.311,0.311,0.091,0.125,0,0.125,0,0,0,0.482,0.482,0,0.167,0,0.145,0,match
0.577,0.333,0.754,0.877,0.263,0.523,0.357,1,0,0,0,0.538,0.538,0.235,0.2,0.057,0.1,0,1,1,1,1,1,1,1,1,1,0,0,0.482,0.482,0,0.167,0,0.145,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.792,0.917,0.375,0.6,0.462,1,0,0,0,0.482,0.482,0,0.167,0,0.145,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.395,0.395,0.143,0.52,0,0.52,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.775,0.6,0.844,0.938,0.531,1,0.717,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.671,0.5,0.793,0.917,0.426,0.95,0.528,0.905,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
0.866,0.75,0.936,0.974,0.808,0.917,0.824,1,0,0.913,0.833,0.96,0.984,0.88,0.917,0.863,1,0,0,0,0.726,0.726,0.308,0.4,0.143,0.4,0,1,1,1,1,1,1,1,1,1,match
0.707,0.5,0.771,0.885,0.312,0.7,0.4,1,0,0.577,0.4,0.896,0.959,0.75,0.733,0.714,0.833,0,0,0,0.311,0.311,0.091,0.125,0,0.125,0,1,1,1,1,1,1,1,1,1,match
0.667,0.5,0.837,0.837,0.571,1,0.667,0.693,0,0.866,0.75,0.952,0.981,0.857,0.875,0.837,1,0,0,0,0.456,0.456,0.136,0.333,0,0.171,0,1,1,1,1,1,1,1,1,1,match
0.75,0.6,0.861,0.861,0.4,1,0.73,0.514,0,0.866,0.75,0.952,0.981,0.857,0.875,0.837,1,0,0,0,0.537,0.537,0.214,0.31,0,0.185,0,1,1,1,1,1,1,1,1,1,match
0.667,0.5,0.88,0.952,0.8,0.667,0.75,0.785,0,1,1,1,1,1,1,1,1,1,0,0,0.537,0.537,0.214,0.31,0,0.185,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.612,0.429,0.779,0.912,0.404,0.875,0.494,0.905,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.667,0.5,0.943,0.977,0.833,0.778,0.769,0.882,0,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.577,0.333,0.772,0.909,0.316,1,0.456,1,0,0.707,0.5,0.821,0.928,0.462,0.633,0.522,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.667,0.5,0.93,0.93,0.789,1,0.789,1,0,0.707,0.5,0.833,0.933,0.5,0.6,0.545,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.707,0.5,0.782,0.913,0.346,1,0.486,1,0,0,0,0.472,0.472,0.167,0.25,0.083,0.25,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.775,0.6,0.82,0.928,0.459,1,0.655,1,0,0,0,0.614,0.614,0.154,0.364,0,0.364,0,1,1,1,1,1,1,1,1,1,match
0.816,0.667,0,0.1,0.424,1,0.667,0.67,0,1,1,1,1,1,1,1,1,1,0,0,0.456,0.456,0.125,0.222,0,0.182,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.4,0.375,0.091,0.375,0,1,1,1,1,1,1,1,1,1,match
0.707,0.5,0.825,0.93,0.476,0.66,0.571,1,0,1,1,1,1,1,1,1,1,1,0.707,0.5,0.833,0.933,0.5,0.6,0.545,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.458,0.458,0,0.15,0,0.15,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.872,0.949,0.615,1,0.64,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.707,0.5,0.824,0.93,0.472,1,0.596,1,0,0,0,0.7,0.7,0.5,0.6,0.4,0.6,0,1,1,1,1,1,1,1,1,1,match
0.6,0.429,0.79,0.916,0.45,0.867,0.578,0.518,0,1,1,1,1,1,1,1,1,1,0,0,0.444,0.444,0.167,0.293,0,0.2,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.833,0.933,0.5,0.6,0.545,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.667,0.5,0.944,0.978,0.917,0.822,0.786,0.867,0,0.707,0.5,0.821,0.928,0.462,0.633,0.522,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
0.707,0.5,0.722,0.833,0.167,0.775,0.25,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.667,0.5,0.874,0.925,0.714,0.889,0.69,0.727,0,0.707,0.5,0.821,0.928,0.462,0.633,0.522,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.667,0.5,0.94,0.946,0.824,0.75,0.737,0.765,0,0,0,0.646,0.646,0.357,0.4,0,0.246,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.633,0.633,0.2,0.3,0,0.3,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.833,0.933,0.5,0.6,0.545,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.354,0.2,0.912,0.965,0.737,0.833,0.649,0.929,0,0,0,0,0,0.182,0.267,0,0.267,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.833,0.933,0.5,0.6,0.545,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.364,0.325,0.174,0.325,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.364,0.325,0.174,0.325,0,1,1,1,1,1,1,1,1,1,match
0.447,0.2,0.719,0.888,0.158,1,0.25,1,0,1,1,1,1,1,1,1,1,1,0,0,0.658,0.658,0.25,0.44,0,0.44,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.31,0.31,0.143,0.171,0,0.143,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.833,0.933,0.5,0.6,0.545,1,0,1,1,1,1,1,1,1,1,1,match
0.707,0.5,0.881,0.952,0.643,0.667,0.667,1,0,1,1,1,1,1,1,1,1,1,0,0,0.645,0.681,0.364,0.286,0.091,0.286,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.8,0.667,0.986,0.994,0.957,1,0.898,1,0,0,0,0.562,0.562,0.143,0.44,0,0.44,0,1,1,1,1,1,1,1,1,1,match
0.816,0.667,0.896,0.958,0.688,0.844,0.774,1,0,0.8,0.667,0.986,0.994,0.957,1,0.898,1,0,0,0,0.972,0.986,0.917,1,0.815,0.909,0,1,1,1,1,1,1,1,1,1,match
0.707,0.5,0.826,0.93,0.478,0.625,0.579,1,0,0.8,0.667,0.986,0.994,0.957,1,0.898,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.655,0.429,0.793,0.917,0.379,1,0.5,1,0,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,1,1,1,1,1,1,1,1,1,match
0.632,0.4,0.778,0.911,0.333,1,0.462,1,0,1,1,1,1,1,1,1,1,1,0,0,0.562,0.562,0.143,0.44,0,0.44,0,0,0,0.455,0.455,0.273,0.533,0,0.2,0,match
0.5,0.333,0.843,0.937,0.529,1,0.6,1,0,1,1,1,1,1,1,1,1,1,0,0,0.55,0.55,0.25,0.52,0,0.52,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.821,0.928,0.462,0.633,0.522,1,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.821,0.928,0.462,0.633,0.522,1,0,0,0,0.404,0.404,0,0.267,0,0.091,0,match
1,1,1,1,1,1,1,1,1,0.408,0.222,0.687,0.812,0.25,0.911,0.345,0.657,0,0,0,0.518,0.518,0.154,0.32,0,0.32,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
0.667,0.5,0.983,0.993,0.95,1,0.884,1,0,1,1,1,1,1,1,1,1,1,0,0,0.489,0.489,0.091,0.257,0,0.314,0,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,1,1,1,0.8,0.667,0.986,0.994,0.957,1,0.898,1,0,0,0,0.482,0.482,0.167,0.367,0,0.182,0,1,1,1,1,1,1,1,1,1,match
0.816,0.667,0.883,0.953,0.65,0.867,0.703,1,0,0.866,0.75,0.872,0.936,0.85,1,0.878,0.918,0,0,0,0.546,0.546,0.154,0.25,0,0.182,0,1,1,1,1,1,1,1,1,1,match
0,0,0.508,0.508,0.1,0.422,0,0.125,0,0,0,0,0,0.286,0.389,0.065,0.123,0,0,0,0.562,0.606,0.364,0.429,0.182,0.429,0,1,1,1,1,1,1,1,1,1,mismatch
0,0,0.446,0.446,0.062,0.294,0,0.154,0,0,0,0,0,0.143,0.333,0.062,0.071,0,0,0,0,0,0.111,0.4,0,0.4,0,1,1,1,1,1,1,1,1,1,mismatch
0,0,0.402,0.402,0.125,0.272,0,0.229,0,0.333,0.2,0.637,0.637,0.467,0.511,0.364,0.429,0,0,0,0.503,0.503,0.222,0.371,0,0.371,0,1,1,1,1,1,1,1,1,1,mismatch
0,0,0,0,0.125,0.339,0,0.286,0,0.204,0.1,0.59,0.59,0.184,0.667,0.143,0.4,0,0,0,0.442,0.442,0.154,0.4,0,0.229,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,mismatch
0,0,0,0,0.188,0.267,0,0.4,0,0,0,0,0,0.143,0.444,0.062,0.143,0,0,0,0.442,0.442,0.231,0.371,0,0.371,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,mismatch
0,0,0.4,0.4,0.1,0.4,0,0.4,0,0,0,0,0,0.133,0.256,0,0.114,0,0,0,0.424,0.424,0.077,0.267,0,0.2,0,1,1,1,1,1,1,1,1,1,mismatch
0,0,0.4,0.4,0.1,0.4,0,0.4,0,0,0,0,0,0.152,0.4,0.062,0.271,0,0,0,0.361,0.361,0.125,0.267,0,0.267,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,mismatch
0,0,0,0,0,0.3,0,0.12,0,0.5,0.333,0.66,0.66,0.6,0.708,0.424,0.514,0,0,0,0.519,0.519,0.143,0.233,0,0.123,0,1,1,1,1,1,1,1,1,1,mismatch
0,0,0,0,0,0.3,0,0.12,0,0.5,0.333,0.66,0.66,0.6,0.708,0.424,0.514,0,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,mismatch
0,0,0.448,0.448,0.143,0.36,0,0.36,0,0.5,0.333,0.614,0.614,0.571,0.625,0.375,0.457,0,0,0,0,0.1,0.286,0.3,0.087,0.4,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,mismatch
