id,name,addr,city,type
"404-233-7673","hedgeroseheightsinnthe","490e.pacesferryrd.ne","atlanta","continental"
"404-876-4408","heeraofindia","595piedmontave.","atlanta","indian"
"404-876-0676","indigocoastalgrill","1397n.highlandave.","atlanta","eclectic"
"404-231-1368","lagrotta","2637peachtreerd.ne","atlanta","italian"
"404-876-1800","marymac'stearoom","224poncedeleonave.","atlanta","southern/soul"
"404-221-6362","nikolai'sroof","255courtlandst.","atlanta","continental"
"404-261-3662","pano's&paul's","1232w.pacesferryrd.","atlanta","american(new)"
"404-237-2700","ritz-carltoncafe(buckhead)","3434peachtreerd.ne","atlanta","american(new)"
"404-237-2700","ritz-carltondiningroom(buckhead)","3434peachtreerd.ne","atlanta","american(new)"
"404-659-0400","ritz-carltonrestaurant","181peachtreest.","atlanta","french(classic)"
"404-351-9533","toulouse","293-bpeachtreerd.","atlanta","french(new)"
"404-875-8424","venividivici","4114thst.","atlanta","italian"
"415-387-0408","alainrondelli","126clementst.","sanfrancisco","french(new)"
"415-956-9662","aqua","252californiast.","sanfrancisco","american(new)"
"415-543-6084","boulevard","1missionst.","sanfrancisco","american(new)"
"415-392-3505","cafeclaude","7claudeln.","sanfrancisco","frenchbistro"
"415-955-5555","camptonplace","340stocktonst.","sanfrancisco","american(new)"
"415-775-7036","chezmichel","804northpointst.","sanfrancisco","californian"
"415-673-7779","fleurdelys","777sutterst.","sanfrancisco","french(new)"
"415-543-0573","fringale","570fourthst.","sanfrancisco","frenchbistro"
"415-777-9779","hawthornelane","22hawthornest.","sanfrancisco","californian"
"415-668-6654","khantokethaihouse","5937gearyblvd.","sanfrancisco","thai"
"415-776-5577","lafolie","2316polkst.","sanfrancisco","french(new)"
"415-495-5775","lulurestaurant-bis-cafe","816folsomst.","sanfrancisco","mediterranean"
"415-989-7154","masa's","648bushst.","sanfrancisco","french(new)"
"415-922-0337","mifune","1737postst.","sanfrancisco","japanese"
"415-563-4755","plumpjackcafe","3127fillmorest.","sanfrancisco","american(new)"
"415-776-7825","postrio","545postst.","sanfrancisco","californian"
"415-296-7465","ritz-carltondiningroom(sanfrancisco)","600stocktonst.","sanfrancisco","french(new)"
"415-399-0499","rosepistola","532columbusave.","sanfrancisco","italian"
"310-475-3585","applepanthe","10801w.picoblvd.","westla","american"
"310-479-2231","asahiramen","2027sawtelleblvd.","westla","noodleshops"
"805-498-4049","bajafresh","3345kimberdr.","westlakevillage","mexican"
"310-788-2306","belvederethe","9882littlesantamonicablvd.","beverlyhills","pacificnewwave"
"310-458-2889","benita'sfrites","1433thirdst.promenade","santamonica","fastfood"
"213-612-1580","bernard's","515s.olivest.","losangeles","continental"
"818-795-2478","bistro45","45s.mentorave.","pasadena","californian"
"818-886-5679","brent'sdeli","19565partheniaave.","northridge","delis"
"310-276-7732","brightoncoffeeshop","9600brightonway","beverlyhills","coffeeshops"
"310-643-5229","bristolfarmsmarketcafe","1570rosecransave.s.","pasadena","californian"
"310-397-5703","bruno's","3838centinelaave.","marvista","italian"
"310-399-1955","cafe'50s","838lincolnblvd.","venice","american"
"310-888-0108","cafeblanc","9777littlesantamonicablvd.","beverlyhills","pacificnewwave"
"213-480-8668","cassell's","3266w.sixthst.","la","hamburgers"
"310-540-1222","chezmelange","1716pch","redondobeach","eclectic"
"310-854-1111","diaghilev","1020n.sanvicenteblvd.","w.hollywood","russian"
"310-209-1422","donantonio's","1136westwoodblvd.","westwood","italian"
"310-652-3100","duke's","8909sunsetblvd.","w.hollywood","coffeeshops"
"310-208-4444","falafelking","1059broxtonave.","westwood","middleeastern"
"310-475-0400","feastfromtheeast","1949westwoodblvd.","westla","chinese"
"213-933-0358","gumbopotthe","6333w.thirdst.","la","cajun/creole"
"213-467-7678","hollywoodhillscoffeeshop","6145franklinave.","hollywood","coffeeshops"
"310-815-1290","indocafe","104281/2nationalblvd.","la","indonesian"
"213-651-2866","jan'sfamilyrestaurant","8424beverlyblvd.","la","coffeeshops"
"310-917-6671","jiraffe","502santamonicablvd","santamonica","californian"
"310-306-1995","jodymaroni'ssausagekingdom","2011oceanfrontwalk","venice","hotdogs"
"310-399-5811","joe's","1023abbotkinneyblvd.","venice","american(new)"
"310-204-0692","johno'groats","10516w.picoblvd.","westla","coffeeshops"
"310-397-6654","johnnie'spastrami","4017s.sepulvedablvd.","culvercity","delis"
"310-423-7327","johnnyreb'ssouthernsmokehouse","4663longbeachblvd.","longbeach","southern/soul"
"213-651-3361","johnnyrockets(la)","7507melroseave.","la","american"
"818-508-1570","killershrimp","4000colfaxave.","studiocity","seafood"
"213-933-0773","kokomocafe","6333w.thirdst.","la","american"
"213-655-9045","kookooroo","8393w.beverlyblvd.","la","chicken"
"310-470-4992","lacachette","10506littlesantamonicablvd.","centurycity","french(new)"
"310-456-6299","lasalsa(la)","22800pch","malibu","mexican"
"213-265-2887","laserenatadegaribaldi","1842e.first","st.boylehts.","mexican/tex-mex"
"213-483-8050","langer's","704s.alvaradost.","la","delis"
"818-706-7706","localnochol","30869thousandoaksblvd.","westlakevillage","healthfood"
"310-475-7564","maincoursethe","10509w.picoblvd.","ranchopark","american"
"213-938-8800","mani'sbakery&espressobar","519s.fairfaxave.","la","desserts"
"310-376-7786","martha's","22ndstreetgrill2522nd","st.hermosabeach","american"
"310-306-7829","maxwell'scafe","13329washingtonblvd.","marinadelrey","american"
"310-451-0843","michael's(losangeles)","1147thirdst.","santamonica","californian"
"213-782-0181","mishima","8474w.thirdst.","la","noodleshops"
"213-935-5280","mobettermeattymeat","7261melroseave.","la","hamburgers"
"818-906-8881","mulberryst.","17040venturablvd.","encino","pizza"
"310-452-5728","oceanparkcafe","3117oceanparkblvd.","santamonica","american"
"818-308-2128","oceanstar","145n.atlanticblvd.","montereypark","seafood"
"213-627-6879","originalpantrybakery","875s.figueroast.downtown","la","diners"
"818-795-1001","parkwaygrill","510s.arroyopkwy.","pasadena","californian"
"213-626-5530","phohoa","642broadway","chinatown","vietnamese"
"213-931-4223","pink'sfamouschilidogs","709n.labreaave.","la","hotdogs"
"818-563-2252","poquitomas","2635w.oliveave.","burbank","mexican"
"213-687-7178","r-23","923e.thirdst.","losangeles","japanese"
"310-828-7937","rae's","2901picoblvd.","santamonica","diners"
"818-905-6515","rubin'sredhots","15322venturablvd.","encino","hotdogs"
"818-796-7829","ruby's(la)","45s.fairoaksave.","pasadena","diners"
"310-596-9556","russell'sburgers","1198pch","sealbeach","hamburgers"
"310-859-8744","ruth'schrissteakhouse(losangeles)","224s.beverlydr.","beverlyhills","steakhouses"
"818-799-4774","shiro","1505missionst.s.","pasadena","pacificnewwave"
"818-508-7017","sushinozawa","11288venturablvd.","studiocity","japanese"
"213-653-7145","sweetladyjane","8360melroseave.","la","desserts"
"310-207-7782","taiko","11677sanvicenteblvd.","brentwood","noodleshops"
"213-389-9060","tommy's","2575beverlyblvd.","la","hamburgers"
"310-545-5177","unclebill'spancakehouse","1305highlandave.","manhattanbeach","diners"
"213-891-0900","watergrill","544s.grandave.","losangeles","seafood"
"818-244-1937","zankouchicken","1415e.coloradost.","glendale","middleeastern"
"212-307-1612","afghankebabhouse","764ninthave.","newyorkcity","afghan"
"212-223-2900","arcadia","21e.62ndst.","newyorkcity","american(new)"
"212-254-2054","benny'sburritos","93ave.a","newyorkcity","mexican"
"212-595-7000","cafeconleche","424amsterdamave.","newyorkcity","cuban"
"212-242-9502","cornerbistro","331w.fourthst.","newyorkcity","hamburgers"
"212-242-0636","cucinadellafontana","368bleeckerst.","newyorkcity","italian"
"212-260-6800","cucinadipesce","87e.fourthst.","newyorkcity","seafood"
"212-432-7227","darbar","44w.56thst.","newyorkcity","indian"
"212-473-5555","ej'sluncheonette","432sixthave.","newyorkcity","diners"
"212-840-5000","edisoncafe","228w.47thst.","newyorkcity","diners"
"718-932-1510","eliascorner","24-0231stst.","queens","greek"
"212-496-0163","goodenoughtoeat","483amsterdamave.","newyorkcity","american"
"212-799-0243","gray'spapaya","2090broadway","newyorkcity","hotdogs"
"212-673-3783","ilmulino","86w.thirdst.","newyorkcity","italian"
"718-672-1232","jacksondiner","37-0374thst.","queens","indian"
"718-539-3838","joe'sshanghai","9pellst.","queens","chinese"
"212-721-7001","john'spizzeria","48w.65thst.","newyorkcity","pizza"
"212-228-1212","kelley&ping","127greenest.","newyorkcity","pan-asian"
"212-674-4040","kiev","117secondave.","newyorkcity","ukrainian"
"212-317-2802","kurumazushi","2ndfl.","newyorkcity","japanese"
"212-874-2780","lacaridad","2199broadway","newyorkcity","cuban"
"212-752-1495","lagrenouille","3e.52ndst.","newyorkcity","french(classic)"
"718-399-7100","lemongrassgrill","61aseventhave.","brooklyn","thai"
"212-941-7994","lombardi's","32springst.","newyorkcity","pizza"
"212-741-3214","marnie'snoodleshop","466hudsonst.","newyorkcity","asian"
"212-247-1585","menchanko-tei","39w.55thst.","newyorkcity","japanese"
"212-989-1367","mitalieast-west","296bleeckerst.","newyorkcity","indian"
"212-580-8686","monsoon(ny)","435amsterdamave.","newyorkcity","thai"
"718-852-5555","moustache","405atlanticave.","brooklyn","middleeastern"
"212-219-0500","nobu","105hudsonst.","newyorkcity","japanese"
"212-228-0822","oneifbylandtibs","17barrowst.","newyorkcity","continental"
"212-490-6650","oysterbar","lowerlevel","newyorkcity","seafood"
"212-687-2953","palm","837secondave.","newyorkcity","steakhouses"
"212-697-5198","palmtoo","840secondave.","newyorkcity","steakhouses"
"718-858-4300","patsy'spizza","19oldfultonst.","brooklyn","pizza"
"718-387-7400","peterlugersteakhouse","178broadway","brooklyn","steakhouses"
"212-533-5011","roseofindia","308e.sixthst.","newyorkcity","indian"
"212-213-2288","sam'snoodleshop","411thirdave.","newyorkcity","chinese"
"212-410-7335","sarabeth's","1295madisonave.","newyorkcity","american"
"212-687-4855","sparkssteakhouse","210e.46thst.","newyorkcity","steakhouses"
"718-937-3030","sticktoyourribs","5-1651stave.","queens","bbq"
"212-755-1780","sushisay","38e.51stst.","newyorkcity","japanese"
"212-996-0660","sylvia's","328lenoxave.","newyorkcity","southern/soul"
"212-535-5223","szechuanhunancottage","1588yorkave.","newyorkcity","chinese"
"212-249-4615","szechuankitchen","1460firstave.","newyorkcity","chinese"
"718-520-2910","teresa's","80montaguest.","queens","polish"
"212-334-1085","thaihousecafe","151hudsonst.","newyorkcity","thai"
"212-349-3132","thailandrestaurant","106bayardst.","newyorkcity","thai"
"212-228-9682","veselka","144secondave.","newyorkcity","ukrainian"
"212-245-0800","westsidecottage","689ninthave.","newyorkcity","chinese"
"212-524-7000","windowsontheworld","107thfl.","newyorkcity","eclectic"
"212-753-0444","wollensky'sgrill","205e.49thst.","newyorkcity","steakhouses"
"212-475-0969","yama","122e.17thst.","newyorkcity","japanese"
"212-644-6740","zarela","953secondave.","newyorkcity","mexican"
"702-385-5016","andre'sfrenchrestaurant","401s.6thst.","lasvegas","french(classic)"
"702-894-7350","buccaneerbayclub","3300lasvegasblvd.s.","lasvegas","continental"
"702-252-7697","buzio'sintherio","3700w.flamingord.","lasvegas","seafood"
"702-891-7374","emeril'sneworleansfishhouse","3799lasvegasblvd.s.","lasvegas","seafood"
"702-252-7702","fiorerotisserie&grille","3700w.flamingord.","lasvegas","italian"
"702-385-4011","hugo'scellar","202e.fremontst.","lasvegas","continental"
"702-894-7111","madameching's","3300lasvegasblvd.s.","lasvegas","asian"
"702-870-8432","mayflowercuisinier","4750w.saharaave.","lasvegas","chinese"
"702-737-7111","michael's(lasvegas)","3595lasvegasblvd.s.","lasvegas","continental"
"702-733-4524","montecarlo","3145lasvegasblvd.s.","lasvegas","french(new)"
"702-791-7352","moongate","3400lasvegasblvd.s.","lasvegas","chinese"
"702-893-0703","morton'sofchicago(lasvegas)","3200lasvegasblvd.s.","lasvegas","steakhouses"
"702-792-9900","nickyblair's","3925paradiserd.","lasvegas","italian"
"702-369-2305","piero'srestaurant","355conventioncenterdr.","lasvegas","italian"
"702-369-6300","spago(lasvegas)","3500lasvegasblvd.s.","lasvegas","californian"
"702-382-1600","steakhousethe","128e.fremontst.","lasvegas","steakhouses"
"702-385-7111","stefano's","129fremontst.","lasvegas","italian"
"702-739-4651","sterlingbrunch","3645lasvegasblvd.s.","lasvegas","eclectic"
"702-891-7331","trevisi","3799lasvegasblvd.s.","lasvegas","italian"
"404-233-5993","103west","103w.pacesferryrd.","atlanta","continental"
"404-724-0444","alon'sattheterrace","659peachtreest.","atlanta","sandwiches"
"404-223-5039","baker'scajuncafe","1134euclidave.","atlanta","cajun/creole"
"404-766-9906","barbecuekitchen","1437virginiaave.","atlanta","bbq"
"404-231-5733","bistrothe","56e.andrewsdr.nw","atlanta","frenchbistro"
"404-876-3872","bobby&june'skountrykitchen","37514thst.","atlanta","southern/soul"
"404-261-7015","bradshaw'srestaurant","2911s.pharrcourt","atlanta","southern/soul"
"404-231-5907","brookhavencafe","4274peachtreerd.","atlanta","vegetarian"
"404-256-1675","cafesunflower","5975roswellrd.","atlanta","healthfood"
"770-432-2663","canoe","4199pacesferryrd.","atlanta","american(new)"
"770-422-8042","carey's","1021cobbpkwy.se","marietta","hamburgers"
"770-933-0909","carey'scorner","1215powersferryrd.","marietta","hamburgers"
"404-262-2675","chops","70w.pacesferryrd.","atlanta","steakhouses"
"404-255-4868","chopstix","4279roswellrd.","atlanta","chinese"
"404-523-1929","deaconburton'ssoulfoodrestaurant","1029edgewoodave.se","atlanta","southern/soul"
"404-888-9149","eats","600poncedeleonave.","atlanta","italian"
"404-687-8888","flyingbiscuitthe","1655mclendonave.","atlanta","eclectic"
"404-892-8226","frijoleros","1031peachtreest.ne","atlanta","tex-mex"
"770-992-5383","greenwood's","1087greenst.","roswell","southern/soul"
"404-627-9268","harold'sbarbecue","171mcdonoughblvd.","atlanta","bbq"
"404-636-4094","havanasandwichshop","2905bufordhwy.","atlanta","cuban"
"770-955-9444","houseofchan","2469cobbpkwy.","smyrna","chinese"
"100-813-8212","indiandelights","3675satelliteblvd.","duluth","indian"
"404-876-6161","javajive","790poncedeleonave.","atlanta","coffeeshops"
"770-955-6068","johnnyrockets(at)","2970cobbpkwy.","atlanta","american"
"404-325-3733","kalo'scoffeehouse","1248clairmontrd.","decatur","coffeehouses"
"404-303-8201","lafondalatina","4427roswellrd.","atlanta","spanish"
"770-418-9969","lettucesoupriseyou(at)","3525mallblvd.","duluth","cafeterias"
"404-875-0276","majestic","1031poncedeleonave.","atlanta","diners"
"404-577-4366","morton'sofchicago(atlanta)","303peachtreest.ne","atlanta","steakhouses"
"404-636-4280","mythai","1248clairmontrd.","atlanta","thai"
"404-240-1984","nava","3060peachtreerd.","atlanta","southwestern"
"404-352-9009","nuevolaredocantina","1495chattahoocheeave.nw","atlanta","mexican"
"404-237-4116","originalpancakehouse(at)","4330peachtreerd.","atlanta","american"
"404-814-1955","palmthe(atlanta)","3391peachtreerd.ne","atlanta","steakhouses"
"404-633-3538","rainbowrestaurant","2118n.decaturrd.","decatur","vegetarian"
"404-659-0400","ritz-carltoncafe(atlanta)","181peachtreest.","atlanta","american(new)"
"404-262-7112","riviera","519e.pacesferryrd.","atlanta","mediterranean"
"404-874-1388","silverskilletthe","20014thst.nw","atlanta","coffeeshops"
"404-233-2005","soto","3330piedmontrd.","atlanta","japanese"
"404-688-5855","thelma'skitchen","764mariettast.nw","atlanta","cafeterias"
"404-892-0193","tortillas","774poncedeleonave.ne","atlanta","tex-mex"
"770-993-1156","vangogh'srestaurant&bar","70w.crossvillerd.","roswell","american(new)"
"404-231-3111","veggieland","220sandyspringscircle","atlanta","vegetarian"
"404-237-7601","whitehouserestaurant","3172peachtreerd.ne","atlanta","diners"
"404-768-2705","zab-e-lee","4837oldnationalhwy.","collegepark","thai"
"415-221-5262","bill'splace","2315clementst.","sanfrancisco","hamburgers"
"415-621-8579","cafeflore","2298marketst.","sanfrancisco","californian"
"415-397-6261","caffegreco","423columbusave.","sanfrancisco","continental"
"415-433-9623","camposanto","240columbusave.","sanfrancisco","mexican"
"415-386-5758","chachacha's","1805haightst.","sanfrancisco","caribbean"
"415-921-2149","doidge's","2217unionst.","sanfrancisco","american"
"415-885-2767","dottie'struebluecafe","522jonesst.","sanfrancisco","diners"
"415-826-4639","dusitthai","3221missionst.","sanfrancisco","thai"
"415-566-1770","ebisu","1283ninthave.","sanfrancisco","japanese"
"415-673-1155","emeraldgardenrestaurant","1550californiast.","sanfrancisco","vietnamese"
"415-282-0919","eric'schineserestaurant","1500churchst.","sanfrancisco","chinese"
"415-626-1985","hamburgermary's","1582folsomst.","sanfrancisco","hamburgers"
"415-362-4454","kelly'sontrinity","333bushst.","sanfrancisco","californian"
"415-863-8205","lacumbre","515valenciast.","sanfrancisco","mexican"
"415-431-7210","lamediterranee","288noest.","sanfrancisco","mediterranean"
"415-285-7117","lataqueria","2889missionst.","sanfrancisco","mexican"
"415-776-8226","mario'sbohemiancigarstorecafe","2209polkst.","sanfrancisco","italian"
"415-665-9500","marneethai","2225irvingst.","sanfrancisco","thai"
"415-387-2244","mel'sdrive-in","3355gearyst.","sanfrancisco","hamburgers"
"415-788-3779","mo'sburgers","1322grantst.","sanfrancisco","hamburgers"
"415-775-5979","phnompenhcambodianrestaurant","631larkinst.","sanfrancisco","cambodian"
"415-550-9213","roosevelttamaleparlor","281724thst.","sanfrancisco","mexican"
"415-626-6006","sally'scafe&bakery","300deharost.","sanfrancisco","american"
"415-431-8956","sanfranciscobbq","132818thst.","sanfrancisco","thai"
"415-861-8032","slanteddoor","584valenciast.","sanfrancisco","vietnamese"
"415-673-1101","swanoysterdepot","1517polkst.","sanfrancisco","seafood"
"415-431-2526","thepphanom","400wallerst.","sanfrancisco","thai"
"415-252-7373","ticouz","310816thst.","sanfrancisco","french"
"415-563-2248","triocafe","1870fillmorest.","sanfrancisco","american"
"415-626-0927","tulan","8sixthst.","sanfrancisco","vietnamese"
"415-863-2382","vicolopizzeria","201ivyst.","sanfrancisco","pizza"
"415-775-1055","wa-ha-kaoaxacamexicangrill","2141polkst.","sanfrancisco","mexican"
